CustomerID,MonthlyRevenue_Clean,ChurnProbability,RevenueRiskScore,PrioritySegment
3189262,1223.38,0.5634282,689.2868196165563,High
3059858,855.5,0.6450676,551.8553083539009,High
3305434,861.11,0.6270661,539.9728685337305,High
3247882,758.17,0.6696461,507.70557174026965,High
3196158,575.75,0.77366936,445.4401352107525,High
3184774,926.08,0.47822064,442.87057178497315,High
3298662,523.2,0.7851118,410.7704858779908,High
3300310,672.01,0.5815829,390.8295272243023,High
3375582,847.82,0.4517209,382.9780078279972,High
3194730,576.86,0.5987057,345.36937528252605,High
3364034,600.99,0.54598224,328.1298673975468,High
3194834,408.65,0.78615654,321.2628680884838,High
3179770,465.64,0.6564073,305.6494936156273,High
3385962,471.67,0.63695836,300.43414997816086,High
3008614,540.99,0.5386008,291.37764810204504,High
3392110,450.09,0.62822086,282.75592516243455,High
3322226,396.33,0.7130882,282.6182520121336,High
3193422,410.99,0.68303293,280.71970385849477,High
3196882,609.42,0.4525805,275.8116153609752,High
3183034,387.3,0.67818135,262.6596369445324,High
3286398,463.23,0.5622792,260.4646051168442,High
3385802,457.21,0.5684423,259.8974971526861,High
3007242,793.05,0.32312837,256.256955756247,High
3373642,492.95,0.5197993,256.2350610345602,High
3170806,321.01,0.78360087,251.5437142497301,High
3042606,504.16,0.4903364,247.2079935503006,High
3090722,382.83,0.63855183,244.45679755568503,High
3266810,409.0,0.59696025,244.15674084424973,High
3326746,297.07,0.81818134,243.05712946355342,High
3218914,376.58,0.6310367,237.6358000409603,High
3399490,534.93,0.443295,237.1317954111099,High
3134586,354.45,0.6628532,234.9483101338148,High
3025486,529.12,0.44036272,233.00472329616548,High
3191874,412.46,0.55912924,230.61844555854796,High
3298014,338.9,0.6779929,229.77178714871405,High
3207166,370.06,0.61582345,227.89162505745887,High
3373974,361.62,0.6277193,226.99584715604783,High
3392146,318.13,0.7069476,224.90124784052372,High
3154682,312.83,0.7178251,224.55723064005375,High
3257074,275.39,0.8122939,223.6976135790348,High
3093546,304.55,0.7213469,219.6862028926611,High
3009826,479.09,0.45042872,215.79589751958846,High
3172458,363.11,0.59272844,215.2256223934889,High
3193470,332.35,0.64665693,214.91643083393575,High
3329798,344.74,0.6156312,212.23270772218706,High
3204694,348.67,0.6070181,211.64900550723075,High
3247354,276.24,0.75865597,209.57112386226655,High
3220938,353.81,0.59197366,209.44620148539542,High
3206798,626.36,0.33429527,209.3891870880127,High
3324226,259.73,0.80344796,208.67953912019732,High
3389350,278.06,0.748716,208.18797005414962,High
3355534,245.61,0.84043235,206.41858846843243,High
3140986,376.88,0.54636407,205.9136903190613,High
3108050,426.7,0.4809708,205.23024032711982,High
3163694,454.15,0.44898424,203.90619056373833,High
3202314,320.84,0.6324668,202.9206458854675,High
3165818,311.65,0.64887154,202.22081575989722,High
3339230,248.37,0.8079384,200.66765964567662,High
3273790,252.0,0.7900519,199.09307312965393,High
3097342,338.44,0.5866222,198.5364101099968,High
3210394,307.08,0.64509773,198.09661170959473,High
3241386,295.03,0.6662735,196.57066323876379,High
3199634,268.42,0.7289494,195.66460535764696,High
3038026,447.79,0.43643177,195.42978029847146,High
3314266,312.92,0.62063426,194.20887194871904,High
3298874,309.21,0.62754226,194.0423413825035,High
3175066,316.5,0.6129661,194.00377705693245,High
3276514,234.58,0.81975806,192.29884515047075,High
3113386,371.14,0.517675,192.12989302277563,High
3231002,241.14,0.79310596,191.24957116842268,High
3379410,244.82,0.77903324,190.72291871190072,High
3217358,272.02,0.700535,190.5595305287838,High
3084326,296.06,0.63953286,189.34009974360467,High
3252890,590.92,0.31961128,188.86469826102257,High
3322710,242.02,0.7780803,188.31099047780037,High
3017798,317.69,0.59249634,188.23016082704066,High
3300634,265.04,0.7100838,188.2006057596207,High
3254534,277.95,0.67476285,187.55033277869225,High
3389498,388.42,0.48265946,187.4745871090889,High
3316738,526.56,0.3535113,186.1449120569229,High
3360174,274.23,0.6762099,185.43704817295077,High
3114194,476.62,0.38842446,185.1308642756939,High
3185574,255.78,0.721435,184.52864696860314,High
3049558,225.53,0.81768626,184.41278216063975,High
3001114,316.47,0.57935655,183.3489677488804,High
3134218,266.87,0.6804817,181.6001438832283,High
3049274,426.46,0.4247498,181.13879613518714,High
3126054,307.31,0.58934045,181.11021319150925,High
3174466,422.44,0.42786524,180.747390717268,High
3166986,411.9,0.43797642,180.4024873673916,High
3261642,340.05,0.53003263,180.23759744167327,High
3242666,267.53,0.67342526,180.1614590603113,High
3297486,222.81,0.8065214,179.7010366344452,High
3259974,296.82,0.6053784,179.68841352939606,High
3306694,222.03,0.8078326,179.36307188630104,High
3159126,275.14,0.65156597,179.27186070799826,High
